Codigo;nombre;unidad;Nombre de la Bodega;Ubicacion;id bodega;id minimo y maximo ;Saldo;Costo ;Lote;TOTAL
003-001-00113;Blends Pera Rooibos;Gramo;Jardin;NULL;3;NULL;518,00;0,0160;NULL;8,288
003-001-00114;Blends Sakura Cherry Blosson;Unidad;Jardin;NULL;3;NULL;0,00;0,0130;NULL;0
003-001-00115;Blends Blueberry Tentation;Gramo;Jardin;NULL;3;NULL;340,00;0,0190;NULL;6,46
003-001-00116;Blends Agua De Rosas;Gramo;Jardin;NULL;3;NULL;0,00;0,0180;NULL;0
003-001-00117;Blends Canela Rooibos;Gramo;Jardin;NULL;3;NULL;461,00;0,0120;NULL;5,532
003-001-00118;Blends Provence;Gramo;Jardin;NULL;3;NULL;505,00;0,0150;NULL;7,575
003-001-00119;Blends Puerh Capuchino;Gramo;Jardin;NULL;3;NULL;206,00;0,0110;NULL;2,266
003-001-00120;Blends Strawberry Green Tea;Gramo;Jardin;NULL;3;NULL;735,00;0,0150;NULL;11,025
003-001-00121;Blends Strawberry Kiwi;Gramo;Jardin;NULL;3;NULL;314,00;0,0200;NULL;6,28
003-001-00122;Blends Strawberry Rose Mint;Gramo;Jardin;NULL;3;NULL;264,00;0,0090;NULL;2,376
003-001-00123;Blends Tropical Fruit;Gramo;Jardin;NULL;3;NULL;488,00;0,0130;NULL;6,344
003-001-00124;Blends Vainilla Chai;Gramo;Jardin;NULL;3;NULL;367,00;0,0100;NULL;3,67
003-001-00125;Blends Oolong Rose;Gramo;Jardin;NULL;3;NULL;335,00;0,0100;NULL;3,35
003-001-00126;Blends Paramo Quitu;Gramo;Jardin;NULL;3;NULL;0,00;0,0080;NULL;0
003-001-00127;Blends Quitu Equinoccial;Gramo;Jardin;NULL;3;NULL;0,00;0,0120;NULL;0
003-001-00128;Blends Sandia Locales;Gramo;Jardin;NULL;3;NULL;190,00;0,0110;NULL;2,09
003-001-00129;Blends Ginger Cidier;Gramo;Jardin;NULL;3;NULL;202,00;0,0110;NULL;2,222
003-001-00130;Blends Tropical Fusion;Gramo;Jardin;NULL;3;NULL;282,00;0,0120;NULL;3,384
003-001-00131;Blends Cotton Candy;Gramo;Jardin;NULL;3;NULL;264,00;0,0110;NULL;2,904
003-001-00132;Blend Creamy Noir;Gramo;Jardin;NULL;3;NULL;516,00;0,0150;NULL;7,74
003-001-00133;Blends Green Jade;Gramo;Jardin;NULL;3;NULL;417,00;0,0100;NULL;4,17
003-001-00134;Blends Mistic Rose;Gramo;Jardin;NULL;3;NULL;0,00;0,0080;NULL;0
003-001-00135;Blends Orange Star;Gramo;Jardin;NULL;3;NULL;322,00;0,0120;NULL;3,864
003-001-00136;Blends Caribbean Punch;Gramo;Jardin;NULL;3;NULL;467,00;0,0180;NULL;8,406
003-001-00137;Blends Golden Rooibos;Gramo;Jardin;NULL;3;NULL;239,00;0,0260;NULL;6,214
003-001-00138;Blends Red Seduction;Gramo;Jardin;NULL;3;NULL;314,00;0,0170;NULL;5,338
003-001-00139;Blends Pineapple Mint;Gramo;Jardin;NULL;3;NULL;387,00;0,0130;NULL;5,031
003-001-00140;Blends Mindningth Almond;Gramo;Jardin;NULL;3;NULL;472,00;0,0140;NULL;6,608
003-001-00141;Blends Orange Blosson;Gramo;Jardin;NULL;3;NULL;296,00;0,0180;NULL;5,328
003-001-00142;Blends Amaranto Spice;Gramo;Jardin;NULL;3;NULL;173,00;0,0180;NULL;3,114
003-001-00143;Blends Rosaline Night;Gramo;Jardin;NULL;3;NULL;305,00;0,0130;NULL;3,965
003-001-00144;Blends Chocolate Mint;Gramo;Jardin;NULL;3;NULL;288,00;0,0150;NULL;4,32
003-001-00145;Blends Majestic Pu Erh;Gramo;Jardin;NULL;3;NULL;324,00;0,0200;NULL;6,48
003-001-00146;Blends Menta;Gramo;Jardin;NULL;3;NULL;432,00;0,0220;NULL;9,504
003-001-00147;Blends Cedron;Gramo;Jardin;NULL;3;NULL;268,00;0,0110;NULL;2,948
003-001-00148;Blends Pu Erh;Gramo;Jardin;NULL;3;NULL;478,00;0,1900;NULL;90,82
003-001-00149;Blends Lavanda;Gramo;Jardin;NULL;3;NULL;449,00;0,0130;NULL;5,837
003-001-00150;Blends Rosas;Gramo;Jardin;NULL;3;NULL;299,00;0,0110;NULL;3,289
003-001-00151;Blends Jazmin;Gramo;Jardin;NULL;3;NULL;402,00;0,0100;NULL;4,02
003-001-00152;Blends Butterfly Pea;Gramo;Jardin;NULL;3;NULL;223,00;0,0120;NULL;2,676
003-001-00153;Blends Lucky Mango;Gramo;Jardin;NULL;3;NULL;64,00;0,0160;NULL;1,024
003-001-00154;Blend Cranberry Apple;Gramo;Jardin;NULL;3;NULL;251,00;0,0170;NULL;4,267
003-001-00155;Blends Flower & Kisses;Gramo;Jardin;NULL;3;NULL;603,00;0,0120;NULL;7,236
003-001-00156;Blends Ruby Tangerine;Gramo;Jardin;NULL;3;NULL;419,00;0,0120;NULL;5,028
003-001-00157;Blends Black Guayusa;Gramo;Jardin;NULL;3;NULL;349,00;0,0080;NULL;2,792
003-001-00158;Blends Lavander Mint;Gramo;Jardin;NULL;3;NULL;194,00;0,0100;NULL;1,94
003-001-00159;Blends Sushine Lemon;Gramo;Jardin;NULL;3;NULL;276,00;0,0100;NULL;2,76
003-001-00160;Blends Negro Blueberry;Gramo;Jardin;NULL;3;NULL;0,00;0,0130;NULL;0
003-001-00161;Blends Manzanilla;Gramo;Jardin;NULL;3;NULL;348,00;0,0100;NULL;3,48
003-001-00162;Blends Caramelo Supreme;Gramo;Jardin;NULL;3;NULL;379,00;0,0190;NULL;7,201
003-001-00163;Blends Citrus Matcha;Gramo;Jardin;NULL;3;NULL;247,00;0,0110;NULL;2,717
003-001-00164;Blends Black Sunshine;Gramo;Jardin;NULL;3;NULL;0,00;0,0110;NULL;0
003-001-00165;Blends Flower Lubally;Gramo;Jardin;NULL;3;NULL;314,00;0,0140;NULL;4,396
003-001-00166;Blends Milky Oolong;Gramo;Jardin;NULL;3;NULL;383,00;0,0140;NULL;5,362
003-001-00167;Blends Black Velvet;Gramo;Jardin;NULL;3;NULL;395,00;0,0160;NULL;6,32
003-001-00168;Blends Bubbly Oolong;Gramo;Jardin;NULL;3;NULL;234,00;0,0200;NULL;4,68
003-001-00169;Blends Butterfly Floral;Gramo;Jardin;NULL;3;NULL;254,00;0,0140;NULL;3,556
003-001-00170;Blends Bingoblueberry;Gramo;Jardin;NULL;3;NULL;332,00;0,0190;NULL;6,308
003-001-00171;Blends Paradiso Peach;Gramo;Jardin;NULL;3;NULL;227,00;0,0140;NULL;3,178
003-001-00172;Blends Te Negro Keemun;Gramo;Jardin;NULL;3;NULL;438,00;0,0150;NULL;6,57
003-001-00173;Blends Rooibos;Gramo;Jardin;NULL;3;NULL;234,00;0,0110;NULL;2,574
003-001-00174;Blends Te Blanco;Gramo;Jardin;NULL;3;NULL;383,00;0,0050;NULL;1,915
003-001-00175;Blends Te Negro Amazonico;Gramo;Jardin;NULL;3;NULL;0,00;0,0260;NULL;0
003-001-00176;Blends Tilo Lemon;Gramo;Jardin;NULL;3;NULL;525,00;0,0220;NULL;11,55
003-001-00177;Blends Oolong;Gramo;Jardin;NULL;3;NULL;388,00;0,0150;NULL;5,82
003-001-00178;Blends Te Verde;Gramo;Jardin;NULL;3;NULL;265,00;0,0250;NULL;6,625
003-001-00179;Blends Piña Green Tea;Gramo;Jardin;NULL;3;NULL;302,00;0,0120;NULL;3,624
003-001-00180;Blends Guayusa;Gramo;Jardin;NULL;3;NULL;290,00;0,0100;NULL;2,9
003-001-00181;Blends Focus Boost;Gramo;Jardin;NULL;3;NULL;0,00;0,0150;NULL;0
003-001-00182;Blends Moon Cycle;Gramo;Jardin;NULL;3;NULL;486,00;0,0230;NULL;11,178
003-001-00183;Blends Divine Detox;Gramo;Jardin;NULL;3;NULL;0,00;0,0200;NULL;0
003-001-00184;Blends Aqua Rosa;Gramo;Jardin;NULL;3;NULL;352,00;0,0150;NULL;5,28
003-001-00185;Blends Digestive Blend;Gramo;Jardin;NULL;3;NULL;352,00;0,0270;NULL;9,504
003-001-00186;Blends Delta Night;Gramo;Jardin;NULL;3;NULL;288,00;0,0150;NULL;4,32
003-001-00187;Blends Caramel Dragon Fruit;Gramo;Jardin;NULL;3;NULL;173,00;0,0170;NULL;2,941
