Codigo;nombre;unidad;Nombre de la Bodega;Ubicacion;id bodega;id minimo y maximo ;Saldo;Costo ;Lote;TOTAL
001-003-00059;Funda Zipper Transparente Mediana 8x9,5;Unidad;Planta;NULL;1;NULL;300,00;0,0780;NULL;23,4
001-003-00060;Funda Zipper Transparente Pequena 5,5x7;Unidad;Planta;NULL;1;NULL;400,00;0,0480;NULL;19,2
001-003-00061;Funda Negra Kfc;Unidad;Planta;NULL;1;NULL;70,00;0,6100;NULL;42,7
001-003-00062;Funda Kraft 10 X 18;Unidad;Planta;NULL;1;NULL;116,00;0,1100;NULL;12,76
001-003-00063;Funda Kraft Matcha 13 X 21;Unidad;Planta;NULL;1;NULL;9,00;0,1100;NULL;0,99
001-003-00064;Funda Plateada 25x44;Unidad;Planta;NULL;1;NULL;21,00;0,5900;NULL;12,39
001-003-00065;Funda Plateada 19x27;Unidad;Planta;NULL;1;NULL;200,00;0,1600;NULL;32
001-003-00066;Funda Transparente 13x21;Unidad;Planta;NULL;1;NULL;147,00;0,0900;NULL;13,23
001-003-00067;Funda Transparente 10x18;Unidad;Planta;NULL;1;NULL;178,00;0,0800;NULL;14,24
001-003-00068;Funda Tisana Frutos Rojos;Unidad;Planta;NULL;1;NULL;6000,00;0,0200;NULL;120
001-003-00069;Funda Tisana Naranja;Unidad;Planta;NULL;1;NULL;7816,00;0,0200;NULL;156,32
001-003-00070;Funda Tisana Manzana;Unidad;Planta;NULL;1;NULL;6500,00;0,0200;NULL;130
001-003-00071;Funda Tisana Pina;Unidad;Planta;NULL;1;NULL;6050,00;0,0200;NULL;121
001-003-00072;Piramides Tippytea;Unidad;Planta;NULL;1;NULL;0,00;0,2300;NULL;0
001-003-00073;Rollos Para Sachets Nuevos Amarillos Tippytea;Unidad;Planta;NULL;1;NULL;187336,00;0,0200;NULL;3746,72
001-003-00074;Rollos  Zebra 64x102 (1 Fila);Unidad;Planta;NULL;1;NULL;652,00;0,0088;NULL;5,7376
001-003-00075;Rollos Zebra 25x40 (3 Filas);Unidad;Planta;NULL;1;NULL;19213,00;0,0002;NULL;4,22686
001-003-00076;Rollos Zebra 15x32 (2 Filas);Unidad;Planta;NULL;1;NULL;7780,00;0,0003;NULL;2,334
001-003-00077;Rollos Impresora 60 X 15;Unidad;Planta;NULL;1;NULL;6740,00;0,0040;NULL;26,96
001-003-00078;Rollos Impresora 3x1;Unidad;Planta;NULL;1;NULL;6503,00;0,0300;NULL;195,09
001-003-00079;Rollos Impresora 3x 2;Unidad;Planta;NULL;1;NULL;1256,00;0,1034;NULL;129,8704
001-003-00080;Rollos Impresora 4 X 3;Unidad;Planta;NULL;1;NULL;3112,00;0,0880;NULL;273,856
001-003-00081;Rollos Impresora 3x 5;Unidad;Planta;NULL;1;NULL;365,00;0,0600;NULL;21,9
001-003-00082;Rollos Impresora 4x 6;Unidad;Planta;NULL;1;NULL;757,00;0,0500;NULL;37,85
001-003-00083;Rollos Impresora 2x 2;Unidad;Planta;NULL;1;NULL;3471,00;0,0300;NULL;104,13
001-003-00084;Rollos Tippytea;Unidad;Planta;NULL;1;NULL;96000,00;0,0130;NULL;1248
001-003-00085;Rollos Pads 20cm;Unidad;Planta;NULL;1;NULL;26,00;11,7700;NULL;306,02
001-003-00086;Rollos Pads 12cm;Unidad;Planta;NULL;1;NULL;1,00;18,0900;NULL;18,09
001-003-00087;Rollos Tag Blancos;Unidad;Planta;NULL;1;NULL;0,00;6,9700;NULL;0
001-003-00088;Rollo De Nylon Sin Tag;Unidad;Planta;NULL;1;NULL;18000,00;0,0300;NULL;540
001-003-00089;Rollo Kraft Maquina Nueva;Unidad;Planta;NULL;1;NULL;0,00;7,4400;NULL;0
001-003-00090;Rollo Blanco Maquina Nueva;Unidad;Planta;NULL;1;NULL;2,00;6,9400;NULL;13,88
